member_id,membership_status,membership_date,membership_plan,membership_fee,gender,age_group,state,referral_source
1,new,2020-09-01,BASIC,33,Male,35-44,Portharcourt,Google Ads
2,new,2022-03-01,BASIC,53,Female,18-24,Portharcourt,Facebook
3,new,2020-10-01,MAX,99,Female,25-34,Enugu,Facebook
3,downgrade,2022-02-01,BASIC,53,Female,25-34,Enugu,Facebook
4,new,2022-05-01,PRO,85,Male,18-24,Lagos,Display
5,new,2022-08-01,BASIC,53,Male,35-44,Lagos,Google Ads
6,new,2022-06-01,MAX,119,Male,55-65,Lagos,Facebook
7,new,2022-02-01,MAX,119,Female,25-34,Lagos,Facebook
8,new,2021-01-01,BASIC,43,Other,45-54,Lagos,Facebook
8,churn,2021-04-01,BASIC,43,Other,45-54,Lagos,Facebook
9,new,2020-08-01,BASIC,33,Female,25-34,Lagos,Facebook
9,churn,2021-03-01,BASIC,43,Female,25-34,Lagos,Facebook
10,new,2022-09-01,MAX,119,Female,25-34,Abuja,Facebook
11,new,2020-05-01,BASIC,33,Female,45-54,Enugu,Organic Search
11,upgrade,2022-01-01,MAX,119,Female,45-54,Enugu,Organic Search
12,new,2020-09-01,BASIC,33,Male,25-34,Abuja,Facebook
12,upgrade,2022-09-01,PRO,85,Male,25-34,Abuja,Facebook
13,new,2022-06-01,BASIC,53,Male,55-65,Enugu,Google Ads
14,new,2020-03-01,BASIC,33,Female,35-44,Enugu,Google Ads
14,upgrade,2020-07-01,PRO,65,Female,35-44,Enugu,Google Ads
15,new,2022-06-01,PRO,85,Female,25-34,Enugu,Google Ads
16,new,2020-12-01,PRO,65,Female,18-24,Enugu,Organic Search
16,upgrade,2022-11-01,MAX,119,Female,18-24,Enugu,Organic Search
17,new,2021-12-01,BASIC,43,Male,45-54,Portharcourt,Unknown
17,churn,2022-08-01,BASIC,53,Male,45-54,Portharcourt,Unknown
18,new,2021-11-01,BASIC,43,Female,35-44,Portharcourt,Bing
19,new,2022-09-01,PRO,85,Male,25-34,Enugu,Organic Search
19,downgrade,2022-10-01,BASIC,53,Male,25-34,Enugu,Organic Search
20,new,2022-11-01,PRO,85,Male,45-54,Abuja,Google Ads
21,new,2021-09-01,PRO,75,Other,55-65,Lagos,Organic Search
21,upgrade,2022-10-01,MAX,119,Other,55-65,Lagos,Organic Search
22,new,2022-06-01,BASIC,53,Female,25-34,Abuja,Unknown
22,churn,2022-11-01,BASIC,53,Female,25-34,Abuja,Unknown
23,new,2020-12-01,MAX,99,Female,35-44,Lagos,Facebook
23,downgrade,2021-05-01,PRO,75,Female,35-44,Lagos,Facebook
24,new,2021-03-01,MAX,109,Female,18-24,Portharcourt,Facebook
24,downgrade,2022-04-01,PRO,85,Female,18-24,Portharcourt,Facebook
25,new,2020-12-01,MAX,99,Female,35-44,Lagos,Google Ads
25,downgrade,2022-08-01,BASIC,53,Female,35-44,Lagos,Google Ads
26,new,2021-02-01,BASIC,43,Female,35-44,Lagos,Paid Search
26,upgrade,2022-07-01,PRO,85,Female,35-44,Lagos,Paid Search
26,churn,2022-10-01,PRO,85,Female,35-44,Lagos,Paid Search
27,new,2020-12-01,BASIC,33,Male,25-34,Abuja,Google Ads
28,new,2022-07-01,PRO,85,Male,55-65,Lagos,Facebook
29,new,2020-06-01,PRO,65,Female,55-65,Lagos,Unknown
29,upgrade,2022-07-01,MAX,119,Female,55-65,Lagos,Unknown
30,new,2022-07-01,PRO,85,Male,45-54,Lagos,Bing
30,downgrade,2022-10-01,BASIC,53,Male,45-54,Lagos,Bing
31,new,2021-05-01,PRO,75,Male,35-44,Lagos,Google Ads
31,upgrade,2022-11-01,MAX,119,Male,35-44,Lagos,Google Ads
32,new,2022-04-01,MAX,119,Female,45-54,Abuja,Display
33,new,2021-09-01,BASIC,43,Male,18-24,Lagos,Facebook
33,churn,2022-09-01,BASIC,53,Male,18-24,Lagos,Facebook
34,new,2022-02-01,BASIC,53,Male,45-54,Enugu,Paid Search
35,new,2022-05-01,PRO,85,Male,18-24,Lagos,Paid Search
36,new,2022-10-01,MAX,119,Female,45-54,Portharcourt,Google Ads
37,new,2020-02-01,PRO,65,Female,35-44,Lagos,Facebook
37,upgrade,2020-11-01,MAX,99,Female,35-44,Lagos,Facebook
37,churn,2020-11-01,PRO,65,Female,35-44,Lagos,Facebook
38,new,2021-06-01,PRO,75,Male,25-34,Abuja,Unknown
38,downgrade,2022-07-01,BASIC,53,Male,25-34,Abuja,Unknown
39,new,2020-08-01,PRO,65,Male,18-24,Lagos,Google Ads
39,upgrade,2022-04-01,MAX,119,Male,18-24,Lagos,Google Ads
39,churn,2022-07-01,MAX,119,Male,18-24,Lagos,Google Ads
40,new,2020-12-01,MAX,99,Other,18-24,Portharcourt,Facebook
40,downgrade,2021-10-01,BASIC,43,Other,18-24,Portharcourt,Facebook
40,churn,2022-04-01,BASIC,53,Other,18-24,Portharcourt,Facebook
41,new,2021-08-01,MAX,109,Male,35-44,Lagos,Google Ads
41,downgrade,2022-10-01,BASIC,53,Male,35-44,Lagos,Google Ads
42,new,2021-06-01,BASIC,43,Female,25-34,Lagos,Tv
43,new,2020-04-01,MAX,99,Female,45-54,Lagos,Organic Search
43,downgrade,2021-10-01,PRO,75,Female,45-54,Lagos,Organic Search
44,new,2021-11-01,PRO,75,Male,18-24,Lagos,Paid Search
44,downgrade,2022-08-01,BASIC,53,Male,18-24,Lagos,Paid Search
45,new,2022-02-01,PRO,85,Female,55-65,Lagos,Unknown
45,upgrade,2022-11-01,MAX,119,Female,55-65,Lagos,Unknown
46,new,2021-10-01,PRO,75,Male,18-24,Lagos,Paid Search
46,upgrade,2022-03-01,MAX,119,Male,18-24,Lagos,Paid Search
47,new,2020-10-01,BASIC,33,Male,18-24,Lagos,Google Ads
47,upgrade,2021-06-01,MAX,109,Male,18-24,Lagos,Google Ads
48,new,2020-05-01,MAX,99,Male,55-65,Lagos,Facebook
48,downgrade,2021-02-01,PRO,75,Male,55-65,Lagos,Facebook
49,new,2022-09-01,MAX,119,Female,18-24,Lagos,Google Ads
50,new,2022-06-01,MAX,119,Other,55-65,Lagos,Facebook
51,new,2021-12-01,BASIC,43,Female,18-24,Lagos,Google Ads
51,churn,2022-07-01,BASIC,53,Female,18-24,Lagos,Google Ads
52,new,2021-12-01,MAX,109,Other,25-34,Portharcourt,Google Ads
52,downgrade,2022-06-01,PRO,85,Other,25-34,Portharcourt,Google Ads
53,new,2020-06-01,PRO,65,Female,25-34,Portharcourt,Facebook
53,upgrade,2021-01-01,MAX,109,Female,25-34,Portharcourt,Facebook
54,new,2022-07-01,PRO,85,Female,55-65,Lagos,Tv
55,new,2022-01-01,BASIC,53,Male,45-54,Lagos,Paid Search
56,new,2020-05-01,PRO,65,Female,45-54,Abuja,Facebook
56,upgrade,2022-04-01,MAX,119,Female,45-54,Abuja,Facebook
57,new,2022-03-01,PRO,85,Male,35-44,Lagos,Paid Search
58,new,2022-01-01,BASIC,53,Female,25-34,Enugu,Facebook
59,new,2022-01-01,MAX,119,Female,35-44,Enugu,Paid Search
59,downgrade,2022-11-01,BASIC,53,Female,35-44,Enugu,Paid Search
60,new,2020-08-01,BASIC,33,Male,45-54,Abuja,Facebook
60,churn,2021-03-01,BASIC,43,Male,45-54,Abuja,Facebook
61,new,2022-06-01,PRO,85,Male,25-34,Lagos,Organic Search
62,new,2021-03-01,PRO,75,Female,35-44,Lagos,Organic Search
62,upgrade,2021-10-01,MAX,109,Female,35-44,Lagos,Organic Search
62,churn,2022-07-01,MAX,119,Female,35-44,Lagos,Organic Search
63,new,2020-08-01,MAX,99,Female,18-24,Portharcourt,Facebook
63,downgrade,2020-11-01,PRO,65,Female,18-24,Portharcourt,Facebook
64,new,2020-02-01,MAX,99,Female,25-34,Lagos,Facebook
64,downgrade,2020-04-01,PRO,65,Female,25-34,Lagos,Facebook
65,new,2021-06-01,BASIC,43,Male,55-65,Portharcourt,Paid Search
65,churn,2022-03-01,BASIC,53,Male,55-65,Portharcourt,Paid Search
66,new,2020-11-01,PRO,65,Male,35-44,Lagos,Organic Search
